No;Title;ISSN;Branches;Date;
22.;"Cloud of science
(перевод наименования на государственный язык Российской Федерации: Научное облако)";2409-031X;"05.13.15 – Вычислительные машины, комплексы и компьютерные сети (технические науки),
05.13.17 – Теоретические основы информатики (технические науки)";"с 28.12.2018
по 16.10.2022";
;;;"Автоматизация и управление технологическими процессами и производствами (технические науки), Управление в организационных
системах (технические науки),";с 01.02.2022;
;;;5.6.8. Документалистика, документоведение, архивоведение (технические науки);;
23.;"Computational nanotechnology
(перевод наименования на государственный язык Российской Федерации: ВЫЧИСЛИТЕЛЬНЫЕ НАНОТЕХНОЛОГИИ)";2313-223Х;"05.02.02 – Машиноведение системы приводов и детали машин (технические науки),
05.02.11 – Методы контроля и диагностика в машиностроении (технические науки),
– Организация производства(по отраслям) (технические науки),
– Стандартизация и управление качеством продукции (технические науки),
05.14.01 – Энергетические системы и комплексы (технические науки),
05.14.03 – Ядерные энергетические установки, включая проектирование эксплуатацию и вывод из эксплуатации (физико-математические науки),
05.14.08 – Энергоустановки на основе возобновляемых видов энергии (технические науки)";"с 28.12.2018
по 16.10.2022";
;;;"05.13.05 – Элементы и устройства вычислительной техники и систем управления (технические науки),
05.13.12 – Системы автоматизации проектирования (по отраслям) (физико- математические науки),
05.13.15 – Вычислительные машины, комплексы и компьютерные сети (физико-математические науки),
05.13.17 – Теоретические основы информатики (физико-математические науки),
05.13.20 – Квантовые методы обработки информации (физико-математические науки)";"с 12.02.2019
по 16.10.2022";
;;;"1.2.2. Математическое моделирование, численные методы и комплексы программ (физико-математические науки),
2.3.1. Системный анализ, управление и обработка информации (физико- математические науки), Автоматизация и управление технологическими процессами и производствами (технические науки), Управление в организационных системах (технические науки), Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей (физико-математические науки),
Методы и системы защиты информации, информационная";с 01.02.2022;
;;;безопасность (физико-математические науки);;
;;;"Искусственный интеллект и машинное обучение (физико- математические науки), Математическое моделирование, численные методы и комплексы программ (технические науки), Теоретическая информатика, кибернетика (физико-математические науки),
Кибербезопасность (физико- математические науки),
Системный анализ, управление и обработка информации (технические науки),
Вычислительные системы и их элементы (технические науки), Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей (технические науки),
Методы и системы защиты информации, информационная безопасность (технические науки), Компьютерное моделирование и автоматизация проектирования (технические науки), Информатика и информационные процессы (технические науки),
2.6.6. Нанотехнологии и наноматериалы (технические науки),
2.6.6. Нанотехнологии и наноматериалы (физико-математические науки)";с 15.02.2022;
;;;"2.5.3. Трение и износ в машинах (технические науки),
Технология и оборудование механической и физико-технической обработки (технические науки), Технология машиностроения (технические науки),
Технологии и машины обработки давлением (технические науки), Сварка, родственные процессы и технологии (технические науки)";"с 01.02.2022
по 20.04.2022";
24.;Сomponents of scientific and technological progress;1997-9347;"05.02.13 – Машины, агрегаты и процессы (по отраслям) (в отраслях строительства и ЖКХ) (технические науки),
– Организация производства (в отраслях строительства и ЖКХ) (по отраслям) (технические науки),
– Стандартизация и управление качеством продукции (технические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и";"с 02.12.2019
по 16.10.2022";
;;;"сферам деятельности) (экономические науки),
– Бухгалтерский учет, статистика (экономические науки),
– Математические и инструментальные методы экономики (экономические науки),";;
;;;"2.1.1. Строительные конструкции, здания и сооружения (технические науки),
2.1.3. Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение (технические науки),
2.1.7. Технология и организация строительства (технические науки), Экологическая безопасность строительства и городского хозяйства (технические науки),
Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия (технические науки),
2.1.11. Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия (архитектура),
2.1.13. Градостроительство, планировка сельских населенных пунктов (технические науки),
2.1.13. Градостроительство, планировка сельских населенных пунктов (архитектура),
Финансы (экономические науки), Мировая экономика (экономические науки)";с 01.02.2022;
